x,y,percentage,shoots
1,1,0,0
3,1,0,0
5,1,0,0
7,1,0,0
9,1,0,0
11,1,0,0
13,1,0,0
15,1,0,0
17,1,0,0
19,1,0,0
21,1,0,0
23,1,0,0
25,1,0,0
27,1,0,0
29,1,0,0
31,1,0,0
33,1,0,0
35,1,0,0
37,1,0,0
39,1,0,0
41,1,0,0
43,1,0,0
45,1,0,0
47,1,0,0
49,1,0,0
2,3,0,0
4,3,0,0
6,3,0,0
8,3,0,0
10,3,0,0
12,3,0,0
14,3,0,0
16,3,0,0
18,3,0,0
20,3,0,0
22,3,0,0
24,3,0,0
26,3,0,0
28,3,0,0
30,3,0,0
32,3,0,0
34,3,0,0
36,3,0,0
38,3,0,0
40,3,0,0
42,3,0,0
44,3,0,0
46,3,0,0
48,3,100,0
1,5,0,0
3,5,0,0
5,5,100,0
7,5,0,0
9,5,0,0
11,5,0,0
13,5,0,0
15,5,0,0
17,5,0,0
19,5,0,0
21,5,0,0
23,5,100,1
25,5,100,3
27,5,50,1
29,5,0,0
31,5,0,0
33,5,100,0
35,5,0,0
37,5,0,0
39,5,0,0
41,5,0,0
43,5,100,0
45,5,0,0
47,5,100,0
49,5,80,2
2,7,60,2
4,7,0,0
6,7,50,1
8,7,100,1
10,7,0,1
12,7,0,0
14,7,0,0
16,7,0,0
18,7,100,1
20,7,100,0
22,7,72,4
24,7,81,7
26,7,80,8
28,7,71,5
30,7,42,2
32,7,0,1
34,7,80,2
36,7,0,2
38,7,40,2
40,7,66,2
42,7,36,3
44,7,66,1
46,7,0,1
48,7,20,2
1,9,60,2
3,9,42,2
5,9,0,0
7,9,25,2
9,9,33,2
11,9,50,1
13,9,0,0
15,9,0,1
17,9,50,1
19,9,20,2
21,9,88,3
23,9,56,4
25,9,65,5
27,9,69,5
29,9,63,3
31,9,72,3
33,9,40,2
35,9,28,2
37,9,100,2
39,9,30,3
41,9,0,1
43,9,50,2
45,9,50,1
47,9,0,0
49,9,40,2
2,11,50,2
4,11,0,0
6,11,0,0
8,11,0,0
10,11,25,2
12,11,0,0
14,11,0,0
16,11,100,0
18,11,0,1
20,11,25,2
22,11,80,2
24,11,60,2
26,11,87,3
28,11,60,2
30,11,33,1
32,11,50,3
34,11,50,2
36,11,42,2
38,11,50,1
40,11,30,3
42,11,100,0
44,11,50,1
46,11,100,1
48,11,50,2
1,13,100,1
3,13,0,0
5,13,33,1
7,13,100,1
9,13,0,1
11,13,25,2
13,13,66,1
15,13,50,1
17,13,0,0
19,13,66,2
21,13,66,1
23,13,0,0
25,13,57,2
27,13,33,2
29,13,100,0
31,13,100,2
33,13,100,0
35,13,80,2
37,13,0,0
39,13,50,2
41,13,0,1
43,13,50,1
45,13,0,0
47,13,0,0
49,13,100,0
2,15,0,0
4,15,0,0
6,15,25,2
8,15,0,1
10,15,100,0
12,15,0,0
14,15,0,0
16,15,100,0
18,15,100,0
20,15,0,0
22,15,0,0
24,15,50,2
26,15,60,2
28,15,0,0
30,15,0,0
32,15,33,1
34,15,100,0
36,15,50,1
38,15,57,2
40,15,60,2
42,15,33,1
44,15,100,1
46,15,66,1
48,15,0,0
1,17,0,0
3,17,0,0
5,17,0,0
7,17,0,1
9,17,0,0
11,17,14,2
13,17,0,1
15,17,0,1
17,17,0,0
19,17,100,1
21,17,0,0
23,17,0,0
25,17,0,0
27,17,0,0
29,17,0,0
31,17,25,2
33,17,0,0
35,17,0,0
37,17,25,2
39,17,50,2
41,17,50,2
43,17,60,2
45,17,0,0
47,17,66,1
49,17,0,0
2,19,0,0
4,19,37,3
6,19,0,0
8,19,75,2
10,19,100,1
12,19,33,2
14,19,100,0
16,19,66,1
18,19,0,1
20,19,0,0
22,19,0,0
24,19,28,2
26,19,50,1
28,19,100,0
30,19,0,0
32,19,100,0
34,19,0,1
36,19,0,0
38,19,50,2
40,19,33,2
42,19,100,1
44,19,50,1
46,19,16,2
48,19,33,2
1,21,0,0
3,21,0,0
5,21,62,3
7,21,0,0
9,21,33,1
11,21,0,1
13,21,50,1
15,21,20,2
17,21,25,2
19,21,0,0
21,21,0,0
23,21,0,0
25,21,40,2
27,21,0,0
29,21,0,0
31,21,0,0
33,21,33,1
35,21,75,3
37,21,14,2
39,21,25,2
41,21,75,2
43,21,100,0
45,21,42,3
47,21,50,1
49,21,0,0
2,23,0,0
4,23,100,0
6,23,30,3
8,23,100,0
10,23,100,0
12,23,0,1
14,23,20,2
16,23,0,1
18,23,0,0
20,23,0,0
22,23,0,0
24,23,50,1
26,23,33,1
28,23,0,1
30,23,50,1
32,23,100,1
34,23,28,2
36,23,0,2
38,23,37,3
40,23,50,1
42,23,0,1
44,23,50,3
46,23,66,1
48,23,0,0
1,25,0,0
3,25,0,0
5,25,0,0
7,25,20,3
9,25,44,3
11,25,0,0
13,25,25,2
15,25,50,2
17,25,50,1
19,25,40,2
21,25,0,0
23,25,0,0
25,25,50,2
27,25,0,1
29,25,0,0
31,25,25,2
33,25,25,2
35,25,20,2
37,25,0,2
39,25,100,0
41,25,55,3
43,25,33,3
45,25,33,1
47,25,0,0
49,25,0,0
2,27,0,0
4,27,0,0
6,27,0,0
8,27,50,1
10,27,16,3
12,27,11,3
14,27,100,0
16,27,0,0
18,27,0,0
20,27,0,0
22,27,0,0
24,27,0,0
26,27,100,0
28,27,0,0
30,27,0,1
32,27,0,0
34,27,40,2
36,27,33,1
38,27,30,3
40,27,45,3
42,27,60,2
44,27,0,0
46,27,100,1
48,27,0,0
1,29,0,0
3,29,0,0
5,29,0,0
7,29,0,0
9,29,100,0
11,29,37,3
13,29,33,3
15,29,66,2
17,29,100,0
19,29,0,0
21,29,0,1
23,29,0,0
25,29,0,0
27,29,0,0
29,29,0,0
31,29,100,0
33,29,0,0
35,29,33,1
37,29,45,3
39,29,71,2
41,29,66,1
43,29,0,0
45,29,0,0
47,29,0,0
49,29,0,0
2,31,0,0
4,31,0,0
6,31,0,0
8,31,0,0
10,31,0,0
12,31,100,0
14,31,50,1
16,31,11,3
18,31,40,2
20,31,0,1
22,31,50,2
24,31,33,1
26,31,16,3
28,31,25,2
30,31,0,2
32,31,42,2
34,31,0,0
36,31,100,1
38,31,0,2
40,31,0,0
42,31,0,0
44,31,0,0
46,31,0,0
48,31,0,0
1,33,0,0
3,33,0,0
5,33,0,0
7,33,0,0
9,33,0,0
11,33,0,0
13,33,0,0
15,33,0,0
17,33,0,0
19,33,100,0
21,33,0,0
23,33,100,0
25,33,75,2
27,33,40,2
29,33,0,1
31,33,66,1
33,33,0,1
35,33,0,1
37,33,0,0
39,33,0,0
41,33,0,0
43,33,0,0
45,33,0,0
47,33,0,0
49,33,0,0
2,35,0,0
4,35,0,0
6,35,0,0
8,35,0,0
10,35,0,0
12,35,0,0
14,35,0,0
16,35,0,0
18,35,0,0
20,35,0,0
22,35,0,0
24,35,0,1
26,35,0,0
28,35,0,0
30,35,0,0
32,35,0,0
34,35,0,0
36,35,0,0
38,35,0,0
40,35,0,1
42,35,0,0
44,35,0,0
46,35,0,0
48,35,0,0
1,37,0,0
3,37,0,0
5,37,0,0
7,37,0,0
9,37,0,0
11,37,0,0
13,37,0,0
15,37,0,0
17,37,0,0
19,37,0,0
21,37,0,0
23,37,0,0
25,37,0,0
27,37,0,0
29,37,0,0
31,37,0,0
33,37,0,0
35,37,0,0
37,37,0,0
39,37,0,0
41,37,0,0
43,37,0,0
45,37,0,0
47,37,0,0
49,37,0,0
2,39,0,0
4,39,0,0
6,39,0,0
8,39,0,0
10,39,0,0
12,39,0,0
14,39,0,0
16,39,0,0
18,39,0,0
20,39,0,0
22,39,0,0
24,39,0,0
26,39,0,0
28,39,0,0
30,39,0,0
32,39,0,0
34,39,0,0
36,39,0,0
38,39,0,0
40,39,0,0
42,39,0,0
44,39,0,0
46,39,0,0
48,39,0,0
1,41,0,0
3,41,0,0
5,41,0,0
7,41,0,0
9,41,0,0
11,41,0,0
13,41,0,0
15,41,0,0
17,41,0,0
19,41,0,0
21,41,0,0
23,41,0,0
25,41,0,0
27,41,0,0
29,41,0,0
31,41,0,0
33,41,0,0
35,41,0,0
37,41,0,0
39,41,0,0
41,41,0,0
43,41,0,0
45,41,0,0
47,41,0,0
49,41,0,0
2,43,0,0
4,43,0,0
6,43,0,0
8,43,0,0
10,43,0,0
12,43,0,0
14,43,0,0
16,43,0,0
18,43,0,0
20,43,0,0
22,43,0,0
24,43,0,0
26,43,0,0
28,43,0,0
30,43,0,1
32,43,0,0
34,43,0,0
36,43,0,0
38,43,0,0
40,43,0,0
42,43,0,0
44,43,0,1
46,43,0,0
48,43,0,0
1,45,0,0
3,45,0,0
5,45,0,0
7,45,0,0
9,45,0,0
11,45,0,0
13,45,0,0
15,45,0,0
17,45,0,0
19,45,0,0
21,45,0,0
23,45,0,0
25,45,0,0
27,45,0,0
29,45,0,0
31,45,0,0
33,45,0,0
35,45,0,0
37,45,0,0
39,45,0,0
41,45,0,0
43,45,0,0
45,45,0,0
47,45,0,0
49,45,0,0
